ds;y
31/01/2015;642
28/02/2015;590
31/03/2015;849
30/04/2015;1271
31/05/2015;1585
30/06/2015;2043
31/07/2015;2049
30/08/2015;2003
30/09/2015;1994
31/10/2015;1953
30/11/2015;2321
31/12/2015;2375
31/01/2016;2507
29/02/2016;2575
31/03/2016;2572
30/04/2016;3049
31/05/2016;3524
30/06/2016;3714
31/07/2016;3667
30/08/2016;3518
30/09/2016;3885
31/10/2016;3960
30/11/2016;3872
31/12/2016;3433
31/01/2017;2970
28/02/2017;2786
31/03/2017;3401
30/04/2017;4035
31/05/2017;4544
30/06/2017;4939
31/07/2017;4803
30/08/2017;5237
30/09/2017;5545
31/10/2017;6021
30/11/2017;6584
31/12/2017;5677
31/01/2018;4991
28/02/2018;4554
31/03/2018;6075
30/04/2018;8069
31/05/2018;9402
30/06/2018;10346
31/07/2018;9691
30/08/2018;10767
30/09/2018;11649
31/10/2018;12742
30/11/2018;13929
31/12/2018;12385
31/01/2019;11542
28/02/2019;10881
31/03/2019;12095
30/04/2019;14431
31/05/2019;16608
30/06/2019;17753
31/07/2019;16426
30/08/2019;16650
30/09/2019;18636
31/10/2019;20456
30/11/2019;22037
31/12/2019;19998
31/01/2020;18110
29/02/2020;17239
31/03/2020;18013
30/04/2020;17903
31/05/2020;17366
30/06/2020;17980
31/07/2020;17597
30/08/2020;19202
30/09/2020;22020
31/10/2020;24387
30/11/2020;25369
31/12/2020;24613
31/01/2021;23189
28/02/2021;24275
31/03/2021;26373
30/04/2021;28130
31/05/2021;29576
30/06/2021;30588
31/07/2021;31283